date,region,metric,value
2052-12-27,SN,dosen_kumulativ,182
2052-12-27,SN,indikation_alter_dosen,90
2052-12-27,SN,indikation_beruf_dosen,69
2052-12-27,SN,indikation_medizinisch_dosen,0
2052-12-27,SN,indikation_pflegeheim_dosen,113
2052-12-27,SN,dosen_differenz_zum_vortag,
2052-12-27,ST,dosen_kumulativ,1504
2052-12-27,ST,indikation_alter_dosen,669
2052-12-27,ST,indikation_beruf_dosen,644
2052-12-27,ST,indikation_medizinisch_dosen,0
2052-12-27,ST,indikation_pflegeheim_dosen,847
2052-12-27,ST,dosen_differenz_zum_vortag,1357
2052-12-27,SH,dosen_kumulativ,809
2052-12-27,SH,indikation_alter_dosen,213
2052-12-27,SH,indikation_beruf_dosen,239
2052-12-27,SH,indikation_medizinisch_dosen,344
2052-12-27,SH,indikation_pflegeheim_dosen,553
2052-12-27,SH,dosen_differenz_zum_vortag,
2052-12-27,TH,dosen_kumulativ,99
2052-12-27,TH,indikation_alter_dosen,49
2052-12-27,TH,indikation_beruf_dosen,50
2052-12-27,TH,indikation_medizinisch_dosen,0
2052-12-27,TH,indikation_pflegeheim_dosen,49
2052-12-27,TH,dosen_differenz_zum_vortag,
2052-12-27,DE,dosen_kumulativ,21566
2052-12-27,DE,indikation_alter_dosen,5833
2052-12-27,DE,indikation_beruf_dosen,7618
2052-12-27,DE,indikation_medizinisch_dosen,962
2052-12-27,DE,indikation_pflegeheim_dosen,11646
2052-12-27,DE,dosen_differenz_zum_vortag,1357
2052-12-28,BW,dosen_kumulativ,4721
2052-12-28,BW,indikation_alter_dosen,1720
2052-12-28,BW,indikation_beruf_dosen,1877
2052-12-28,BW,indikation_medizinisch_dosen,326
2052-12-28,BW,indikation_pflegeheim_dosen,192
2052-12-28,BW,dosen_differenz_zum_vortag,2560
2052-12-28,BY,dosen_kumulativ,5219
2052-12-28,BY,indikation_alter_dosen,1457
2052-12-28,BY,indikation_beruf_dosen,1830
2052-12-28,BY,indikation_medizinisch_dosen,91
2052-12-28,BY,indikation_pflegeheim_dosen,2423
2052-12-28,BY,dosen_differenz_zum_vortag,1830
2052-12-28,BE,dosen_kumulativ,3839
2052-12-28,BE,indikation_alter_dosen,3340
2052-12-28,BE,indikation_beruf_dosen,517
2052-12-28,BE,indikation_medizinisch_dosen,105
2052-12-28,BE,indikation_pflegeheim_dosen,3322
2052-12-28,BE,dosen_differenz_zum_vortag,2213
2052-12-28,BB,dosen_kumulativ,107
2052-12-28,BB,indikation_alter_dosen,60
2052-12-28,BB,indikation_beruf_dosen,47
2052-12-28,BB,indikation_medizinisch_dosen,0
2052-12-28,BB,indikation_pflegeheim_dosen,60
2052-12-28,BB,dosen_differenz_zum_vortag,75
2052-12-28,HB,dosen_kumulativ,592
2052-12-28,HB,indikation_alter_dosen,276
2052-12-28,HB,indikation_beruf_dosen,133
2052-12-28,HB,indikation_medizinisch_dosen,0
2052-12-28,HB,indikation_pflegeheim_dosen,278
2052-12-28,HB,dosen_differenz_zum_vortag,174
2052-12-28,HH,dosen_kumulativ,1071
2052-12-28,HH,indikation_alter_dosen,507
2052-12-28,HH,indikation_beruf_dosen,471
2052-12-28,HH,indikation_medizinisch_dosen,0
2052-12-28,HH,indikation_pflegeheim_dosen,600
2052-12-28,HH,dosen_differenz_zum_vortag,626
2052-12-28,HE,dosen_kumulativ,4354
2052-12-28,HE,indikation_alter_dosen,1480
2052-12-28,HE,indikation_beruf_dosen,2425
2052-12-28,HE,indikation_medizinisch_dosen,287
2052-12-28,HE,indikation_pflegeheim_dosen,1702
2052-12-28,HE,dosen_differenz_zum_vortag,1242
2052-12-28,MV,dosen_kumulativ,4170
2052-12-28,MV,indikation_alter_dosen,100
2052-12-28,MV,indikation_beruf_dosen,1862
2052-12-28,MV,indikation_medizinisch_dosen,2
2052-12-28,MV,indikation_pflegeheim_dosen,2209
2052-12-28,MV,dosen_differenz_zum_vortag,3488
2052-12-28,NI,dosen_kumulativ,835
2052-12-28,NI,indikation_alter_dosen,79
2052-12-28,NI,indikation_beruf_dosen,370
2052-12-28,NI,indikation_medizinisch_dosen,141
2052-12-28,NI,indikation_pflegeheim_dosen,552
2052-12-28,NI,dosen_differenz_zum_vortag,501
2052-12-28,NW,dosen_kumulativ,7136
2052-12-28,NW,indikation_alter_dosen,0
2052-12-28,NW,indikation_beruf_dosen,1788
2052-12-28,NW,indikation_medizinisch_dosen,0
2052-12-28,NW,indikation_pflegeheim_dosen,5348
2052-12-28,NW,dosen_differenz_zum_vortag,518
2052-12-28,RP,dosen_kumulativ,1462
2052-12-28,RP,indikation_alter_dosen,0
2052-12-28,RP,indikation_beruf_dosen,715
2052-12-28,RP,indikation_medizinisch_dosen,0
2052-12-28,RP,indikation_pflegeheim_dosen,747
2052-12-28,RP,dosen_differenz_zum_vortag,210
2052-12-28,SL,dosen_kumulativ,862
2052-12-28,SL,indikation_alter_dosen,658
2052-12-28,SL,indikation_beruf_dosen,51
2052-12-28,SL,indikation_medizinisch_dosen,0
2052-12-28,SL,indikation_pflegeheim_dosen,466
2052-12-28,SL,dosen_differenz_zum_vortag,647
2052-12-28,SN,dosen_kumulativ,857
2052-12-28,SN,indikation_alter_dosen,240
2052-12-28,SN,indikation_beruf_dosen,551
2052-12-28,SN,indikation_medizinisch_dosen,1
2052-12-28,SN,indikation_pflegeheim_dosen,305
2052-12-28,SN,dosen_differenz_zum_vortag,675
2052-12-28,ST,dosen_kumulativ,3985
2052-12-28,ST,indikation_alter_dosen,1592
2052-12-28,ST,indikation_beruf_dosen,1678
2052-12-28,ST,indikation_medizinisch_dosen,124
2052-12-28,ST,indikation_pflegeheim_dosen,2292
2052-12-28,ST,dosen_differenz_zum_vortag,2481
2052-12-28,SH,dosen_kumulativ,2495
2052-12-28,SH,indikation_alter_dosen,588
2052-12-28,SH,indikation_beruf_dosen,528
2052-12-28,SH,indikation_medizinisch_dosen,584
2052-12-28,SH,indikation_pflegeheim_dosen,1136
2052-12-28,SH,dosen_differenz_zum_vortag,1686
2052-12-28,TH,dosen_kumulativ,257
2052-12-28,TH,indikation_alter_dosen,135
2052-12-28,TH,indikation_beruf_dosen,121
2052-12-28,TH,indikation_medizinisch_dosen,0
2052-12-28,TH,indikation_pflegeheim_dosen,135
2052-12-28,TH,dosen_differenz_zum_vortag,158
2052-12-28,DE,dosen_kumulativ,41962
2052-12-28,DE,indikation_alter_dosen,12232
2052-12-28,DE,indikation_beruf_dosen,14964
2052-12-28,DE,indikation_medizinisch_dosen,1661
2052-12-28,DE,indikation_pflegeheim_dosen,21767
2052-12-28,DE,dosen_differenz_zum_vortag,19084
2052-12-30,BW,dosen_kumulativ,12649
2052-12-30,BW,indikation_alter_dosen,5347
2052-12-30,BW,indikation_beruf_dosen,4196
2052-12-30,BW,indikation_medizinisch_dosen,763
2052-12-30,BW,indikation_pflegeheim_dosen,1831
2052-12-30,BW,dosen_differenz_zum_vortag,4407
2052-12-30,BY,dosen_kumulativ,28206
2052-12-30,BY,indikation_alter_dosen,5831
2052-12-30,BY,indikation_beruf_dosen,13981
2052-12-30,BY,indikation_medizinisch_dosen,424
2052-12-30,BY,indikation_pflegeheim_dosen,10347
2052-12-30,BY,dosen_differenz_zum_vortag,15104
2052-12-30,BE,dosen_kumulativ,9084
2052-12-30,BE,indikation_alter_dosen,6554
2052-12-30,BE,indikation_beruf_dosen,2733
2052-12-30,BE,indikation_medizinisch_dosen,105
2052-12-30,BE,indikation_pflegeheim_dosen,6350
2052-12-30,BE,dosen_differenz_zum_vortag,2788
2052-12-30,BB,dosen_kumulativ,3036
2052-12-30,BB,indikation_alter_dosen,204
2052-12-30,BB,indikation_beruf_dosen,2812
2052-12-30,BB,indikation_medizinisch_dosen,20
2052-12-30,BB,indikation_pflegeheim_dosen,224
2052-12-30,BB,dosen_differenz_zum_vortag,1483
2052-12-30,HB,dosen_kumulativ,1691
2052-12-30,HB,indikation_alter_dosen,821
2052-12-30,HB,indikation_beruf_dosen,408
2052-12-30,HB,indikation_medizinisch_dosen,5
2052-12-30,HB,indikation_pflegeheim_dosen,510
2052-12-30,HB,dosen_differenz_zum_vortag,601
2052-12-30,HH,dosen_kumulativ,2040
2052-12-30,HH,indikation_alter_dosen,832
2052-12-30,HH,indikation_beruf_dosen,1042
2052-12-30,HH,indikation_medizinisch_dosen,0
2052-12-30,HH,indikation_pflegeheim_dosen,999
2052-12-30,HH,dosen_differenz_zum_vortag,541
2052-12-30,HE,dosen_kumulativ,15674
2052-12-30,HE,indikation_alter_dosen,4677
2052-12-30,HE,indikation_beruf_dosen,8681
2052-12-30,HE,indikation_medizinisch_dosen,712
2052-12-30,HE,indikation_pflegeheim_dosen,6512
2052-12-30,HE,dosen_differenz_zum_vortag,6226
2052-12-30,MV,dosen_kumulativ,11101
2052-12-30,MV,indikation_alter_dosen,173
2052-12-30,MV,indikation_beruf_dosen,6349
2052-12-30,MV,indikation_medizinisch_dosen,7
2052-12-30,MV,indikation_pflegeheim_dosen,4651
2052-12-30,MV,dosen_differenz_zum_vortag,3640
2052-12-30,NI,dosen_kumulativ,2705
2052-12-30,NI,indikation_alter_dosen,296
2052-12-30,NI,indikation_beruf_dosen,1512
2052-12-30,NI,indikation_medizinisch_dosen,315
2052-12-30,NI,indikation_pflegeheim_dosen,1423
2052-12-30,NI,dosen_differenz_zum_vortag,1178
2052-12-30,NW,dosen_kumulativ,19930
2052-12-30,NW,indikation_alter_dosen,0
2052-12-30,NW,indikation_beruf_dosen,6610
2052-12-30,NW,indikation_medizinisch_dosen,0
2052-12-30,NW,indikation_pflegeheim_dosen,13693
2052-12-30,NW,dosen_differenz_zum_vortag,7359
2052-12-30,RP,dosen_kumulativ,4247
2052-12-30,RP,indikation_alter_dosen,0
2052-12-30,RP,indikation_beruf_dosen,1941
2052-12-30,RP,indikation_medizinisch_dosen,0
2052-12-30,RP,indikation_pflegeheim_dosen,2306
2052-12-30,RP,dosen_differenz_zum_vortag,1673
2052-12-30,SL,dosen_kumulativ,2119
2052-12-30,SL,indikation_alter_dosen,1641
2052-12-30,SL,indikation_beruf_dosen,161
2052-12-30,SL,indikation_medizinisch_dosen,0
2052-12-30,SL,indikation_pflegeheim_dosen,899
2052-12-30,SL,dosen_differenz_zum_vortag,601
2052-12-30,SN,dosen_kumulativ,2653
2052-12-30,SN,indikation_alter_dosen,150
2052-12-30,SN,indikation_beruf_dosen,2460
2052-12-30,SN,indikation_medizinisch_dosen,1
2052-12-30,SN,indikation_pflegeheim_dosen,192
2052-12-30,SN,dosen_differenz_zum_vortag,1166
2052-12-30,ST,dosen_kumulativ,10100
2052-12-30,ST,indikation_alter_dosen,3107
2052-12-30,ST,indikation_beruf_dosen,5068
2052-12-30,ST,indikation_medizinisch_dosen,300
2052-12-30,ST,indikation_pflegeheim_dosen,4815
2052-12-30,ST,dosen_differenz_zum_vortag,2813
2052-12-30,SH,dosen_kumulativ,5581
2052-12-30,SH,indikation_alter_dosen,1385
2052-12-30,SH,indikation_beruf_dosen,3361
2052-12-30,SH,indikation_medizinisch_dosen,1175
2052-12-30,SH,indikation_pflegeheim_dosen,2241
2052-12-30,SH,dosen_differenz_zum_vortag,1747
2052-12-30,TH,dosen_kumulativ,810
2052-12-30,TH,indikation_alter_dosen,232
2052-12-30,TH,indikation_beruf_dosen,297
2052-12-30,TH,indikation_medizinisch_dosen,0
2052-12-30,TH,indikation_pflegeheim_dosen,413
2052-12-30,TH,dosen_differenz_zum_vortag,138
2052-12-30,DE,dosen_kumulativ,131626
2052-12-30,DE,indikation_alter_dosen,31250
2052-12-30,DE,indikation_beruf_dosen,61612
2052-12-30,DE,indikation_medizinisch_dosen,3827
2052-12-30,DE,indikation_pflegeheim_dosen,57406
2052-12-30,DE,dosen_differenz_zum_vortag,51465
2052-12-31,BW,dosen_kumulativ,17086
2052-12-31,BW,indikation_alter_dosen,7578
2052-12-31,BW,indikation_beruf_dosen,5423
2052-12-31,BW,indikation_medizinisch_dosen,1037
2052-12-31,BW,indikation_pflegeheim_dosen,2693
2052-12-31,BW,dosen_differenz_zum_vortag,4295
2052-12-31,BY,dosen_kumulativ,37955
2052-12-31,BY,indikation_alter_dosen,7840
2052-12-31,BY,indikation_beruf_dosen,18450
2052-12-31,BY,indikation_medizinisch_dosen,718
2052-12-31,BY,indikation_pflegeheim_dosen,14265
2052-12-31,BY,dosen_differenz_zum_vortag,9749
2052-12-31,BE,dosen_kumulativ,11114
2052-12-31,BE,indikation_alter_dosen,7029
2052-12-31,BE,indikation_beruf_dosen,2952
2052-12-31,BE,indikation_medizinisch_dosen,105
2052-12-31,BE,indikation_pflegeheim_dosen,8161
2052-12-31,BE,dosen_differenz_zum_vortag,2030
2052-12-31,BB,dosen_kumulativ,3219
2052-12-31,BB,indikation_alter_dosen,204
2052-12-31,BB,indikation_beruf_dosen,2995
2052-12-31,BB,indikation_medizinisch_dosen,20
2052-12-31,BB,indikation_pflegeheim_dosen,224
2052-12-31,BB,dosen_differenz_zum_vortag,183
2052-12-31,HB,dosen_kumulativ,1741
2052-12-31,HB,indikation_alter_dosen,821
2052-12-31,HB,indikation_beruf_dosen,408
2052-12-31,HB,indikation_medizinisch_dosen,6
2052-12-31,HB,indikation_pflegeheim_dosen,237
2052-12-31,HB,dosen_differenz_zum_vortag,50
2052-12-31,HH,dosen_kumulativ,2759
2052-12-31,HH,indikation_alter_dosen,1129
2052-12-31,HH,indikation_beruf_dosen,1420
2052-12-31,HH,indikation_medizinisch_dosen,0
2052-12-31,HH,indikation_pflegeheim_dosen,1341
2052-12-31,HH,dosen_differenz_zum_vortag,719
2052-12-31,HE,dosen_kumulativ,21373
2052-12-31,HE,indikation_alter_dosen,6073
2052-12-31,HE,indikation_beruf_dosen,12345
2052-12-31,HE,indikation_medizinisch_dosen,821
2052-12-31,HE,indikation_pflegeheim_dosen,8513
2052-12-31,HE,dosen_differenz_zum_vortag,5699
2052-12-31,MV,dosen_kumulativ,11494
2052-12-31,MV,indikation_alter_dosen,178
2052-12-31,MV,indikation_beruf_dosen,6583
2052-12-31,MV,indikation_medizinisch_dosen,8
2052-12-31,MV,indikation_pflegeheim_dosen,4804
2052-12-31,MV,dosen_differenz_zum_vortag,393
2052-12-31,NI,dosen_kumulativ,3566
2052-12-31,NI,indikation_alter_dosen,567
2052-12-31,NI,indikation_beruf_dosen,1981
2052-12-31,NI,indikation_medizinisch_dosen,654
2052-12-31,NI,indikation_pflegeheim_dosen,2044
2052-12-31,NI,dosen_differenz_zum_vortag,861
2052-12-31,NW,dosen_kumulativ,24924
2052-12-31,NW,indikation_alter_dosen,0
2052-12-31,NW,indikation_beruf_dosen,8963
2052-12-31,NW,indikation_medizinisch_dosen,0
2052-12-31,NW,indikation_pflegeheim_dosen,16334
2052-12-31,NW,dosen_differenz_zum_vortag,3033
2052-12-31,RP,dosen_kumulativ,5112
2052-12-31,RP,indikation_alter_dosen,0
2052-12-31,RP,indikation_beruf_dosen,2329
2052-12-31,RP,indikation_medizinisch_dosen,0
2052-12-31,RP,indikation_pflegeheim_dosen,2783
2052-12-31,RP,dosen_differenz_zum_vortag,865
2052-12-31,SL,dosen_kumulativ,2716
2052-12-31,SL,indikation_alter_dosen,2065
2052-12-31,SL,indikation_beruf_dosen,248
2052-12-31,SL,indikation_medizinisch_dosen,0
2052-12-31,SL,indikation_pflegeheim_dosen,1080
2052-12-31,SL,dosen_differenz_zum_vortag,597
2052-12-31,SN,dosen_kumulativ,3290
2052-12-31,SN,indikation_alter_dosen,226
2052-12-31,SN,indikation_beruf_dosen,2754
2052-12-31,SN,indikation_medizinisch_dosen,1
2052-12-31,SN,indikation_pflegeheim_dosen,535
2052-12-31,SN,dosen_differenz_zum_vortag,637
2052-12-31,ST,dosen_kumulativ,11146
2052-12-31,ST,indikation_alter_dosen,3506
2052-12-31,ST,indikation_beruf_dosen,5582
2052-12-31,ST,indikation_medizinisch_dosen,458
2052-12-31,ST,indikation_pflegeheim_dosen,5346
2052-12-31,ST,dosen_differenz_zum_vortag,1046
2052-12-31,SH,dosen_kumulativ,7270
2052-12-31,SH,indikation_alter_dosen,1766
2052-12-31,SH,indikation_beruf_dosen,4523
2052-12-31,SH,indikation_medizinisch_dosen,1527
2052-12-31,SH,indikation_pflegeheim_dosen,2817
2052-12-31,SH,dosen_differenz_zum_vortag,1689
2052-12-31,TH,dosen_kumulativ,810
2052-12-31,TH,indikation_alter_dosen,232
2052-12-31,TH,indikation_beruf_dosen,297
2052-12-31,TH,indikation_medizinisch_dosen,0
2052-12-31,TH,indikation_pflegeheim_dosen,413
2052-12-31,TH,dosen_differenz_zum_vortag,0
2052-12-31,DE,dosen_kumulativ,165575
2052-12-31,DE,indikation_alter_dosen,39214
2052-12-31,DE,indikation_beruf_dosen,77253
2052-12-31,DE,indikation_medizinisch_dosen,5355
2052-12-31,DE,indikation_pflegeheim_dosen,71590
2052-12-31,DE,dosen_differenz_zum_vortag,31846
2053-01-01,BW,dosen_kumulativ,20045
2053-01-01,BW,indikation_alter_dosen,9087
2053-01-01,BW,indikation_beruf_dosen,6185
2053-01-01,BW,indikation_medizinisch_dosen,1189
2053-01-01,BW,indikation_pflegeheim_dosen,3403
2053-01-01,BW,dosen_differenz_zum_vortag,2958
2053-01-01,BY,dosen_kumulativ,39005
2053-01-01,BY,indikation_alter_dosen,7840
2053-01-01,BY,indikation_beruf_dosen,19500
2053-01-01,BY,indikation_medizinisch_dosen,718
2053-01-01,BY,indikation_pflegeheim_dosen,14265
2053-01-01,BY,dosen_differenz_zum_vortag,1050
2053-01-01,BE,dosen_kumulativ,13137
2053-01-01,BE,indikation_alter_dosen,8662
2053-01-01,BE,indikation_beruf_dosen,3319
2053-01-01,BE,indikation_medizinisch_dosen,105
2053-01-01,BE,indikation_pflegeheim_dosen,9817
2053-01-01,BE,dosen_differenz_zum_vortag,2023
2053-01-01,BB,dosen_kumulativ,3219
2053-01-01,BB,indikation_alter_dosen,204
2053-01-01,BB,indikation_beruf_dosen,2995
2053-01-01,BB,indikation_medizinisch_dosen,20
2053-01-01,BB,indikation_pflegeheim_dosen,224
2053-01-01,BB,dosen_differenz_zum_vortag,
2053-01-01,HB,dosen_kumulativ,1741
2053-01-01,HB,indikation_alter_dosen,821
2053-01-01,HB,indikation_beruf_dosen,408
2053-01-01,HB,indikation_medizinisch_dosen,6
2053-01-01,HB,indikation_pflegeheim_dosen,237
2053-01-01,HB,dosen_differenz_zum_vortag,
2053-01-01,HH,dosen_kumulativ,3042
2053-01-01,HH,indikation_alter_dosen,1129
2053-01-01,HH,indikation_beruf_dosen,1703
2053-01-01,HH,indikation_medizinisch_dosen,0
2053-01-01,HH,indikation_pflegeheim_dosen,1341
2053-01-01,HH,dosen_differenz_zum_vortag,283
2053-01-01,HE,dosen_kumulativ,24791
2053-01-01,HE,indikation_alter_dosen,6909
2053-01-01,HE,indikation_beruf_dosen,14480
2053-01-01,HE,indikation_medizinisch_dosen,955
2053-01-01,HE,indikation_pflegeheim_dosen,9680
2053-01-01,HE,dosen_differenz_zum_vortag,3418
2053-01-01,MV,dosen_kumulativ,11494
2053-01-01,MV,indikation_alter_dosen,178
2053-01-01,MV,indikation_beruf_dosen,6583
2053-01-01,MV,indikation_medizinisch_dosen,8
2053-01-01,MV,indikation_pflegeheim_dosen,4804
2053-01-01,MV,dosen_differenz_zum_vortag,
2053-01-01,NI,dosen_kumulativ,3945
2053-01-01,NI,indikation_alter_dosen,773
2053-01-01,NI,indikation_beruf_dosen,2105
2053-01-01,NI,indikation_medizinisch_dosen,827
2053-01-01,NI,indikation_pflegeheim_dosen,2362
2053-01-01,NI,dosen_differenz_zum_vortag,379
2053-01-01,NW,dosen_kumulativ,33375
2053-01-01,NW,indikation_alter_dosen,0
2053-01-01,NW,indikation_beruf_dosen,11846
2053-01-01,NW,indikation_medizinisch_dosen,0
2053-01-01,NW,indikation_pflegeheim_dosen,21537
2053-01-01,NW,dosen_differenz_zum_vortag,7908
2053-01-01,RP,dosen_kumulativ,6898
2053-01-01,RP,indikation_alter_dosen,0
2053-01-01,RP,indikation_beruf_dosen,3166
2053-01-01,RP,indikation_medizinisch_dosen,0
2053-01-01,RP,indikation_pflegeheim_dosen,3732
2053-01-01,RP,dosen_differenz_zum_vortag,439
2053-01-01,SL,dosen_kumulativ,3316
2053-01-01,SL,indikation_alter_dosen,2508
2053-01-01,SL,indikation_beruf_dosen,335
2053-01-01,SL,indikation_medizinisch_dosen,0
2053-01-01,SL,indikation_pflegeheim_dosen,1294
2053-01-01,SL,dosen_differenz_zum_vortag,600
2053-01-01,SN,dosen_kumulativ,4000
2053-01-01,SN,indikation_alter_dosen,297
2053-01-01,SN,indikation_beruf_dosen,3320
2053-01-01,SN,indikation_medizinisch_dosen,1
2053-01-01,SN,indikation_pflegeheim_dosen,679
2053-01-01,SN,dosen_differenz_zum_vortag,710
2053-01-01,ST,dosen_kumulativ,11771
2053-01-01,ST,indikation_alter_dosen,3782
2053-01-01,ST,indikation_beruf_dosen,5760
2053-01-01,ST,indikation_medizinisch_dosen,495
2053-01-01,ST,indikation_pflegeheim_dosen,5793
2053-01-01,ST,dosen_differenz_zum_vortag,625
2053-01-01,SH,dosen_kumulativ,7964
2053-01-01,SH,indikation_alter_dosen,2130
2053-01-01,SH,indikation_beruf_dosen,4690
2053-01-01,SH,indikation_medizinisch_dosen,1798
2053-01-01,SH,indikation_pflegeheim_dosen,3384
2053-01-01,SH,dosen_differenz_zum_vortag,694
2053-01-01,TH,dosen_kumulativ,810
2053-01-01,TH,indikation_alter_dosen,232
2053-01-01,TH,indikation_beruf_dosen,297
2053-01-01,TH,indikation_medizinisch_dosen,0
2053-01-01,TH,indikation_pflegeheim_dosen,413
2053-01-01,TH,dosen_differenz_zum_vortag,
2053-01-01,DE,dosen_kumulativ,188553
2053-01-01,DE,indikation_alter_dosen,44552
2053-01-01,DE,indikation_beruf_dosen,86692
2053-01-01,DE,indikation_medizinisch_dosen,6122
2053-01-01,DE,indikation_pflegeheim_dosen,82965
2053-01-01,DE,dosen_differenz_zum_vortag,21087
2053-01-02,BW,dosen_kumulativ,24063
2053-01-02,BW,indikation_alter_dosen,11041
2053-01-02,BW,indikation_beruf_dosen,7428
2053-01-02,BW,indikation_medizinisch_dosen,1382
2053-01-02,BW,indikation_pflegeheim_dosen,4200
2053-01-02,BW,dosen_differenz_zum_vortag,4014
2053-01-02,BY,dosen_kumulativ,57833
2053-01-02,BY,indikation_alter_dosen,12855
2053-01-02,BY,indikation_beruf_dosen,25636
2053-01-02,BY,indikation_medizinisch_dosen,1091
2053-01-02,BY,indikation_pflegeheim_dosen,20428
2053-01-02,BY,dosen_differenz_zum_vortag,11742
2053-01-02,BE,dosen_kumulativ,14616
2053-01-02,BE,indikation_alter_dosen,9817
2053-01-02,BE,indikation_beruf_dosen,3647
2053-01-02,BE,indikation_medizinisch_dosen,105
2053-01-02,BE,indikation_pflegeheim_dosen,10968
2053-01-02,BE,dosen_differenz_zum_vortag,1443
2053-01-02,BB,dosen_kumulativ,3219
2053-01-02,BB,indikation_alter_dosen,204
2053-01-02,BB,indikation_beruf_dosen,2995
2053-01-02,BB,indikation_medizinisch_dosen,20
2053-01-02,BB,indikation_pflegeheim_dosen,224
2053-01-02,BB,dosen_differenz_zum_vortag,
2053-01-02,HB,dosen_kumulativ,1837
2053-01-02,HB,indikation_alter_dosen,824
2053-01-02,HB,indikation_beruf_dosen,465
2053-01-02,HB,indikation_medizinisch_dosen,9
2053-01-02,HB,indikation_pflegeheim_dosen,265
2053-01-02,HB,dosen_differenz_zum_vortag,96
2053-01-02,HH,dosen_kumulativ,3704
2053-01-02,HH,indikation_alter_dosen,1439
2053-01-02,HH,indikation_beruf_dosen,2010
2053-01-02,HH,indikation_medizinisch_dosen,0
2053-01-02,HH,indikation_pflegeheim_dosen,1696
2053-01-02,HH,dosen_differenz_zum_vortag,662
2053-01-02,HE,dosen_kumulativ,30085
2053-01-02,HE,indikation_alter_dosen,8443
2053-01-02,HE,indikation_beruf_dosen,17635
2053-01-02,HE,indikation_medizinisch_dosen,1096
2053-01-02,HE,indikation_pflegeheim_dosen,11569
2053-01-02,HE,dosen_differenz_zum_vortag,5294
